bedroom_number,street_address_raw,price,sect_keyfeatures,sect,requestdetails_p_a,id,url,price_raw,postcode,town_raw
2 bedroom apartment to rent,"Deansgate, Manchester, Greater Manchester, M3",£995 pcm,"Manlets are pleased to offer this Two bedroom, Two bathroom apartment at Deansgate Quay A great location in the Castlefield area of the city, with Deansgate & Oxford Road Train Stations each just a short walk away.",,Call: 0161 468 0806,797,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=170,t to rent,M3 2BW,Manchester
3 bedroom terraced house to rent,"Parkfield Avenue, Manchester",£780 pcm,Available 1st July. Furnished. Kaytons are pleased to offer this THREE bedroom mid-terraced house located in the residential location of Rusholme only a few minutes from the Universities and the famous Curry Mile. The accommodation offers plenty of space and quality furnishing and will be suitabl...,,Call: 0161 468 0593,801,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=170,e to rent,M14 4HL,Manchester
3 bedroom house to rent,"Parkfield Avenue, Manchester Rusholme",£780 pcm,A good sized mid terraced house in the heart of Rusholme with 3 double bedrooms,,Call: 0161 468 0757,804,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=170,e to rent,M14 4FZ,Manchester
3 bedroom terraced house to rent,"Greville Street, Manchester, Greater Manchester, M13",£750 pcm,"Four bedroom terrace property situated, in Longsight close to Victoria Park and local amenities with good transport links to the A6 Stockport Road and Manchester City Centre. The property would ideally suit a large family. SORRY THIS PROPERTY DOES NOT ACCEPT DSS.",,Call: 0161 225 1234,807,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=170,e to rent,M13 0YG,Manchester
Studio flat to rent,"Goulden Road, Didsbury, Manchester, M20 4ZF",£395 pcm,"A part furnished, self contained studio apartment located in a converted Victorian house in the centre of West Didsbury. The flat has been recently redecorated and furnished to include carpets, curtains and kitchen appliances. EPC Rating C.",,Call: 0161 468 0444,810,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=200,t to rent,M20 4ZE,Manchester
Studio flat for sale,"Jacksons Moss, 149-151 Upper Chorlton Road, Upper Chorlton Road, Manchester","Offers in Region of £3,200,000","A wonderful development or investment opportunity offered by Lock & Parker Estate Agency. Jacksons Moss, Upper Chorlton Road, M16 7SH. ref 3605837 High specification 5 storey double fronted building that comprises of 18 apartments (2 x 2 bed and 16 x 3 bed). Planning referenc...",,Call: 01625 909081,3,http://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=REGION%5E904&insId=1&radius=0.25&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false, for sale,M16 7RQ,Manchester
7 bedroom detached house for sale,"Palatine Road, Didsbury, Manchester","Guide Price £1,250,000","AN INDIVIDUALLY DESIGNED AND NEWLY CONSTRUCTED CONTEMPORARY DETACHED FAMILY HOME OCCUPYING A GARDEN PLOT MEASURING 0.3 OF AN ACRE, ARRANGED OVER THREE FLOORS AND EXTENDING TO 6000 SQ FT. With the outer shell construction complete the incoming buyer is able to continue the design process and tailo...",,Call: 0161 468 0407,139,http://www.rightmove.co.uk/property-for-sale/Manchester.html?radius=0.25&index=130, for sale,M20 2UD,Manchester
2 bedroom flat to rent,"Palatine Road, Manchester, M20",£725 pcm,"This lovely two double bedroom ground floor apartment has been beautifully refurbished throughout. Offering an abundance of space throughout, the property boasts a modern fitted kitchen and bathroom, light and spacious lounge, and secure parking to the rear. This property is available to rent ...",,Call: 0161 468 0493,684,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=60,t to rent,M22 4ET,Manchester
5 bedroom detached house for sale,"Ringley Chase, Whitefield, Manchester","Offers in Excess of £999,950","Clive Anthony are delighted to offer for sale this simply magnificent, imposing 5 double bedroomed Georgian styled detached family home set behind remote decorative wrought iron gates and railings, occupying one of the largest plots on Ringley Chase, considered as one of the most prestigious and ...",,Call: 0161 468 0306,182,http://www.rightmove.co.uk/property-for-sale/Manchester.html?radius=0.25&index=160, for sale,M45 7XQ,Manchester
5 bedroom semi-detached house for sale,"Prestwich Park Road South, Manchester","£900,000 ","A classic tree lined road, with some of Prestwich`s most beautiful properties is home to this stunning, four storey, five bedroom Victorian Semi. This particular location is most sought after, part of Prestwich`s conservation area,",,Call: 0161 468 0773,226,http://www.rightmove.co.uk/property-for-sale/Manchester.html?radius=0.25&index=200, for sale,M25 9PF,Manchester
