provenance,postcode,price,street_name,bedroom_number,crimerank
agent_10,M50 1AW,"595.00
        PCM  
        
        
        
        
        
        
          
         Deposit: 3570 - admin fee is 360 (inc. VAT)  (Other Fees Apply)","Pilgrims Way, Salford, M50 1AW",1 bedroom(s),nan
agent_11,M3 7DX,"875.00
        PCM  
        
        
        
        
        
        
          
         Deposit: 5250 - admin fee is 360 (inc. VAT)  (Other Fees Apply)","Bury Street, Salford, M3 7DX",2 bedroom(s),nan
agent_12,M30 0SW,"575.00
        PCM  
        
        
        
        
        
        
          
         Deposit: 3450 - admin fee is 360 (inc. VAT)  (Other Fees Apply)","41 Devonshire Road, Manchester, M30 0SW",2 bedroom(s),nan
agent_13,M3 7EL,"995.00
        PCM  
        
        
        
        
        
        
          
         Deposit: 5970 - admin fee is 360 (inc. VAT)  (Other Fees Apply)","74 Blackfriars Road, Salford, M3 7EL",3 bedroom(s),nan
agent_14,M1 5BY,"895.00
        PCM  
        
        
        
        
        
        
          
         Deposit: 5370 - admin fee is 360 (inc. VAT)  (Other Fees Apply)","3 Cambridge Street, Manchester, M1 5BY",1 bedroom(s),2461
rightmove_0,M14 6HZ,£395 pcm,#NAME?,1 bedroom flat share to rent,9947
rightmove_1,M8 8US,"£3,000,000 ","Holborn Avenue, Manchester",Terraced house for sale,1589
rightmove_2,M30 0DR,"Offers in Region of £3,325,000","Wellington Road, Manchester, Greater Manchester, M14",45 bedroom residential development for sale,nan
rightmove_3,M20 2RQ,POA,"Stenner Brow, Stenner Lane, Didsbury, Manchester, Greater Manchester",8 bedroom detached house for sale,16648
rightmove_4,M45 7NT,"Offers in Region of £1,800,000","Ringley Park, Whitefield, Manchester",5 bedroom detached house for sale,nan
rightmove_5,M3 4LP,POA,"Great Northern Tower 20th Floor, Central, Manchester",3 bedroom apartment for sale,4783
rightmove_6,M43 7WH,"£1,500,000 ","Shrewsbury House  at Shrewsbury Wood, Shrewsbury Road,
Prestwich,
Manchester,
M25",8 bedroom detached house for sale,nan
rightmove_7,M21 7QU,POA,"Haddon Road, Worsley, Manchester, Greater Manchester",6 bedroom detached house for sale,5107
rightmove_8,M20 6XD,"Guide Price £1,400,000","Elm Road, Didsbury, Manchester",6 bedroom detached house for sale,9389
rightmove_9,M27 0YF,"£1,300,800 ","Units 115-119, Timber Wharf, 
Worsley Street,
Manchester,
M15",Office for sale,nan
rightmove_10,M25 7LH,"£1,295,000 ","Ringley Road, Whitefield, Manchester",5 bedroom detached house for sale,nan
rightmove_11,M3 4EP,POA,"Great Northern Tower 20th Floor, Central, Manchester",3 bedroom apartment for sale,4783
rightmove_12,M25 7LN,"£1,295,000 ","Ringley Road, Whitefield, Manchester",5 bedroom detached house for sale,nan
rightmove_13,M45 7LX,"£1,295,000 ","48 Ringley Road, Whitefield, Manchester, M45 7LL, Manchester",5 bedroom detached house for sale,nan
rightmove_14,M22 4FR,"£1,250,000 ","Palatine Road, Didsbury, Manchester, Manchester",7 bedroom detached house for sale,6686
rightmove_15,M5 4BE,POA,"The Albion, Brunel Avenue, Manchester",Distribution Warehouse to rent,nan
rightmove_16,M45 7LE,"£1,195,000 ","Ringley Road, Whitefield, Manchester",5 bedroom detached house for sale,nan
rightmove_17,M30 9ED,"£1,200,000 ","Stafford Road, Ellesmere Park, Manchester , M30",5 bedroom detached house for sale,nan
rightmove_18,M30 9HN,"Offers in Region of £1,200,000","Stafford Road, Ellesmere Park, Monton, Manchester",7 bedroom detached house for sale,nan
rightmove_19,M28 2WR,"Offers in Region of £1,200,000","Chatsworth Road, Worsley, Manchester",4 bedroom detached house for sale,nan
rightmove_20,M28 2NG,"Guide Price £1,191,000","Sefton Drive, Worsley, Manchester, M28 2NG",5 bedroom detached house for sale,nan
rightmove_21,M28 2NT,"£995,000 ","Chatsworth Road, Worsley, Manchester, M28 2NU",5 bedroom detached house for sale,nan
rightmove_22,M43 7WA,"£1,000,000 ","69 Shrewsbury Road at Shrewsbury Wood, Shrewsbury Road,
Prestwich,
Manchester,
M25",6 bedroom detached house for sale,nan
rightmove_23,M21 0UH,"£1,050,000 ","1-3, Cavendish Terrace/ Corkland Road/Wilbraham Road, Chorlton, Manchester, M21 0UH",Commercial Property for sale,6927
rightmove_24,M43 7WC,"£1,000,000 ","67 Shrewsbury Road at Shrewsbury Wood, Shrewsbury Road,
Prestwich,
Manchester,
M25",6 bedroom detached house for sale,nan
rightmove_25,M43 7WD,"£1,000,000 ","65 Shrewsbury Road at Shrewsbury Wood, Shrewsbury Road,
Prestwich,
Manchester,
M25",6 bedroom detached house for sale,nan
rightmove_26,M43 7WE,"£1,000,000 ","21 Lowther Road at Shrewsbury Wood, Shrewsbury Road,
Prestwich,
Manchester,
M25",6 bedroom detached house for sale,nan
rightmove_27,M12 5NL,"Guide Price £1,000,000","Bennett Street, Gorton, Manchester",Light Industrial for sale,12001
rightmove_28,M20 2GN,"Guide Price £995,000","Barlow Moor Road, Didsbury, Manchester",4 bedroom detached house for sale,9389
rightmove_29,M14 6UD,"£995,000 ","Clifton Avenue, Fallowfield, Manchester, M14 ",19 bedroom apartment for sale,1798
rightmove_30,M13 0FN,£575 pcm,"Hathersage Road,Rusholme,Manchester,M13",1 bedroom apartment to rent,3973
rightmove_31,M25 9PE,"£999,000 ","Prestwich Park Road South, Prestwich, Manchester",5 bedroom semi-detached house for sale,nan
rightmove_32,M7 4JJ,"£950,000 ","Old Hall Road, Broughton Park, Manchester",5 bedroom detached house for sale,nan
